,Title_job,Job_link,Company_link,Address,Salary,date
192,PHP Developer ,/it-jobs/php-developer-laravel-reactjs-tap-doan-novaon-5836,/companies/tap-doan-novaon,Ho Chi Minh,500 - 1000 ,8/12/2021
198,Fresher/Jr Python Developer ,/it-jobs/junior-python-developer-sql-django-saritasa-1337,/companies/saritasa,Ha Noi,600 - 1800 ,8/12/2021
202,Java Developer ,/it-jobs/java-developer-spring-ivs-4810,/companies/ivs,Da Nang,1500,8/12/2021
206,5 Senior Devs ,/it-jobs/5-senior-devs-java-php-scala-flinters-vietnam-0512,/companies/flinters-vietnam,Ha Noi,1500,8/12/2021
208,Android Developer ,/it-jobs/android-developer-java-spring-citigo-software-1359,/companies/citigo-software,Ha Noi,900 - 1500 ,8/12/2021
209,Kỹ sư cầu nối ,/it-jobs/ky-su-cau-noi-bridge-engineer-city-ascom-viet-nam-2650,/companies/city-ascom-viet-nam,Ho Chi Minh,2000,8/12/2021
211,C/C++ Software Engineer,/it-jobs/c-c-software-engineer-lg-vehicle-component-solutions-development-center-vietnam-lg-vs-dcv-1404,/companies/lg-vehicle-component-solutions-development-center-vietnam-lg-vs-dcv,Ho Chi Minh,700 - 2000 ,8/12/2021
216,Fullstack Dev ,/it-jobs/fullstack-developer-django-javascript-cong-ty-tnhh-dynastras-viet-nam-0143,/companies/cong-ty-tnhh-dynastras-viet-nam,Ha Noi,700 - 1000 ,8/12/2021
217,Tester Lead ,/it-jobs/tester-lead-qa-qc-upto-30m-net-seal-commerce-0721,/companies/seal-commerce,Ho Chi Minh,700 - 1500 ,8/12/2021
219,Backend Magento Developer ,/it-jobs/senior-php-developer-magento-nfq-asia-0927,/companies/nfq-asia,Ho Chi Minh,2500,8/12/2021
222,.Net developer,/it-jobs/net-developer-central-retail-4521,/companies/central-retail,Ho Chi Minh,1000 - 1500 ,8/12/2021
227,Senior Database Developer ,/it-jobs/senior-database-developer-sql-ssis-nashtech-4726,/companies/nashtech,Ho Chi Minh,1000 - 2000 ,8/12/2021
229,Security Engineer ,/it-jobs/security-engineer-timo-4734,/companies/timo,Da Nang,2000 - 3500 ,8/12/2021
230,Junior-Mid UX Researcher,/it-jobs/mid-ux-researcher-seal-commerce-4043,/companies/seal-commerce,Ho Chi Minh,600 - 1000 ,8/12/2021
